Time,CH,RISE,COUN,ENER,DURATION,AMP,ABS_E
11.7651075,6,1,8,1,44,52.0,218.865
11.86087,1,32,18,3,65,57.0,900.992
11.8608745,3,9,17,5,175,61.0,1474.0
11.860892,2,1,3,0,7,56.0,93.573
11.8609045,6,40,13,2,61,54.0,428.464
11.956738,1,12,13,2,43,55.0,527.747
11.9567395,3,9,15,4,172,58.0,956.33
11.9567815,6,1,8,1,47,52.0,232.811
12.053568,1,11,18,4,137,57.0,1005.0
12.0535745,3,3,17,5,169,60.0,1395.0
12.053593,2,1,1,0,1,52.0,0.0
12.0536055,6,1,13,2,115,54.0,494.51
14.484454,1,8,13,2,48,55.0,556.425
14.4844605,3,3,15,4,166,59.0,906.397
14.4844995,6,1,8,1,50,52.0,247.21
14.580525,1,32,18,4,128,57.0,976.841
14.5805315,3,3,17,5,169,61.0,1392.0
14.5805625,6,11,14,2,112,54.0,486.066
14.677348,1,32,13,2,48,55.0,558.549
14.6773525,3,9,15,4,168,58.0,938.969
14.6773945,6,28,8,1,49,52.0,239.969
14.77319,1,9,16,4,166,57.0,1011.0
14.7731915,3,13,18,5,175,60.0,1485.0
14.773209,2,1,2,0,7,53.0,67.492
14.7732335,6,1,12,2,69,53.0,398.273
14.869367,1,11,12,2,45,55.0,552.413
14.8693735,3,10,16,4,169,59.0,930.774
14.8694045,6,1,10,1,58,52.0,273.399
14.965078,1,32,18,3,113,57.0,953.803
14.9650825,3,6,18,5,175,61.0,1477.0
14.9651,2,1,2,0,1,55.0,0.0
14.9651155,6,37,14,2,99,54.0,469.89
15.060801,1,9,11,2,43,55.0,528.196
15.0608055,3,10,16,4,169,58.0,917.676
15.0608445,6,1,8,1,47,51.0,237.219
15.156571,1,32,18,4,132,57.0,985.101
15.1565755,3,9,18,5,175,61.0,1486.0
15.156593,2,1,2,0,7,53.0,81.469
15.1566055,6,40,14,2,102,54.0,481.978
17.565919,1,1,14,2,46,55.0,552.918
17.5659235,3,9,16,4,172,59.0,974.217
17.565944,2,1,1,0,1,53.0,0.0
17.5659655,6,1,7,1,44,52.0,221.362
17.66276,1,1,19,4,135,57.0,1006.0
17.6627645,3,9,18,5,175,61.0,1501.0
17.662782,2,1,2,0,7,53.0,79.781
17.6627945,6,37,14,2,81,54.0,453.384
17.758508,1,1,14,2,48,55.0,561.401
17.7585125,3,9,15,4,172,58.0,971.454
17.75853,2,1,2,0,4,53.0,32.904
17.7585545,6,1,8,1,44,52.0,223.327
17.854247,1,32,19,3,113,57.0,955.206
17.8542515,3,5,17,5,171,61.0,1477.0
17.854269,2,1,3,0,6,54.0,83.257
17.8542845,6,37,14,2,58,54.0,412.728
17.950101,1,32,14,2,48,55.0,557.946
17.9501055,3,9,15,4,171,59.0,958.41
17.9501475,6,28,8,1,46,53.0,236.096
18.045914,1,11,17,4,168,57.0,1038.0
18.0459205,3,10,17,5,169,60.0,1399.0
18.045941,2,1,1,0,4,52.0,30.718
18.0459515,6,1,13,2,115,54.0,490.156
18.142045,1,32,14,2,48,55.0,556.467
18.1420495,3,9,17,4,172,59.0,958.806
18.142067,2,1,2,0,4,52.0,31.313
18.1420915,6,1,8,1,44,52.0,222.864
18.237783,1,29,18,4,125,57.0,974.239
18.2377895,3,3,17,5,169,61.0,1412.0
18.237808,2,1,2,0,1,53.0,0.0
18.2378205,6,37,14,2,58,54.0,411.322
20.624844,1,32,13,2,48,55.0,561.873
20.6248485,3,9,15,4,171,59.0,960.532
20.624863,2,1,3,0,7,52.0,56.603
20.6248895,6,29,8,1,47,53.0,239.128
20.720637,1,32,18,4,132,57.0,1001.0
20.7206415,3,9,17,5,172,61.0,1470.0
20.720659,2,1,2,0,7,54.0,84.671
20.7206715,6,40,14,2,102,54.0,480.91
20.816659,1,32,12,2,48,55.0,565.842
20.8166655,3,3,16,4,169,59.0,924.376
20.8166965,6,1,9,1,58,52.0,270.029
20.912401,1,11,17,4,128,57.0,984.344
20.9124075,3,3,17,5,169,61.0,1406.0
20.912423,2,1,2,0,1,53.0,0.0
20.9124385,6,11,14,2,115,54.0,485.34
21.008206,1,32,15,2,48,55.0,558.537
21.0082105,3,9,16,4,168,59.0,929.697
21.0082525,6,28,8,1,43,53.0,213.998
21.104001,1,1,18,4,172,57.0,1057.0
21.1040055,3,9,18,5,175,61.0,1486.0
21.104023,2,1,2,0,13,53.0,125.955
21.1040355,6,1,14,2,102,54.0,474.117
21.199865,1,32,14,2,48,55.0,563.623
21.1998715,3,2,16,4,169,59.0,930.916
21.199887,2,1,2,0,1,52.0,0.0
21.1999145,6,25,8,1,46,52.0,216.667
21.295936,1,32,18,3,113,57.0,960.328
21.2959405,3,5,17,5,171,61.0,1471.0
21.295961,2,2,2,0,6,53.0,65.606
21.2959735,6,11,14,2,58,54.0,409.999
23.691837,1,11,12,2,45,55.0,552.814
23.6918435,3,3,14,4,169,59.0,916.73
23.6918745,6,1,10,1,58,52.0,267.327
23.78867,1,32,18,4,132,57.0,1003.0
23.7886745,3,9,17,5,175,61.0,1489.0
23.788692,2,1,2,0,7,54.0,82.704
23.7887045,6,40,14,2,102,54.0,478.309
23.884529,1,1,14,3,135,55.0,667.86
23.8845335,3,9,17,4,175,58.0,968.713
23.8845725,6,1,8,1,72,52.0,273.638
23.980387,1,1,18,4,135,57.0,1020.0
23.9803915,3,9,18,5,175,61.0,1507.0
23.980409,2,1,3,0,7,53.0,82.757
23.9804215,6,1,13,2,81,54.0,448.982
24.076438,1,1,13,3,132,55.0,637.447
24.0764395,3,9,15,4,175,58.0,975.261
24.076457,2,1,2,0,7,54.0,69.455
24.0764785,6,1,8,1,47,52.0,237.032
24.172181,1,9,16,4,166,57.0,1015.0
24.1721855,3,10,17,5,169,60.0,1394.0
24.1722,2,1,2,0,7,55.0,82.573
24.1722165,6,1,13,2,115,53.0,491.207
24.267926,1,9,12,3,132,55.0,646.292
24.2679305,3,10,16,4,169,59.0,921.091
24.267945,2,1,2,0,7,53.0,64.593
24.2679695,6,1,8,1,47,51.0,233.64
24.36375,1,1,18,4,135,57.0,1019.0
24.3637545,3,9,18,5,175,61.0,1501.0
24.363772,2,1,2,0,7,54.0,69.972
24.3637935,6,1,13,2,93,54.0,456.914
26.774149,1,1,13,3,132,55.0,645.04
26.7741505,3,9,16,4,172,59.0,958.004
26.7741925,6,1,9,1,47,52.0,233.673
26.870708,1,32,17,4,128,57.0,997.587
26.8707145,3,3,18,5,169,61.0,1427.0
26.8707455,6,11,14,2,115,54.0,493.133
26.96676,1,9,12,2,43,55.0,539.837
26.9667645,3,10,15,4,169,58.0,931.291
26.9667955,6,1,10,1,55,52.0,259.44
27.062497,1,32,18,3,113,57.0,963.635
27.0625015,3,9,18,5,175,61.0,1492.0
27.062519,2,1,2,0,7,52.0,64.26
27.0625315,6,40,14,2,102,54.0,480.547
27.158253,1,9,12,3,132,55.0,651.229
27.1582575,3,10,15,4,169,59.0,917.683
27.1582965,6,1,9,1,47,51.0,233.844
27.254097,1,11,17,4,168,57.0,1047.0
27.2541035,3,3,17,5,169,60.0,1397.0
27.254124,2,1,1,0,4,52.0,39.901
27.2541345,6,1,13,2,115,54.0,485.306
27.349966,1,12,14,3,129,55.0,641.573
27.3499675,3,9,17,4,172,59.0,969.095
27.349985,2,1,2,0,4,53.0,31.06
27.3500095,6,1,8,1,47,52.0,232.477
27.446033,1,1,18,4,172,57.0,1064.0
27.4460375,3,13,18,5,175,60.0,1494.0
27.446055,2,1,2,0,7,54.0,81.137
27.4460675,6,1,15,2,84,54.0,455.531
29.853939,1,1,13,2,46,55.0,566.29
29.8539435,3,9,16,4,172,59.0,967.722
29.853961,2,1,2,0,4,52.0,27.841
29.8539855,6,1,7,1,44,52.0,223.19
29.950005,1,9,17,4,169,57.0,1031.0
29.9500065,3,13,18,5,175,60.0,1488.0
29.950024,2,1,3,0,7,54.0,83.974
29.9500455,6,1,12,2,72,53.0,415.86
30.045772,1,12,14,3,129,55.0,641.681
30.0457735,3,9,16,4,172,58.0,962.969
30.045791,2,1,2,0,4,54.0,46.758
30.0458125,6,1,9,1,47,52.0,236.451
30.141488,1,32,18,4,132,57.0,1012.0
30.1414925,3,9,17,5,175,60.0,1486.0
30.14151,2,1,3,0,7,56.0,105.078
30.1415225,6,40,13,2,102,54.0,476.832
30.237336,1,32,13,2,48,55.0,575.911
30.2373405,3,9,16,4,168,59.0,959.352
30.237358,2,1,2,0,9,53.0,97.565
30.2373825,6,25,9,1,44,52.0,220.388
30.333135,1,9,17,4,169,57.0,1033.0
30.3331365,3,13,18,5,175,60.0,1489.0
30.333154,2,1,3,0,7,54.0,101.941
30.3331705,6,1,13,2,115,53.0,486.529
30.428991,1,1,13,3,132,55.0,653.868
30.4289925,3,9,16,4,175,59.0,978.98
30.42901,2,1,2,0,7,52.0,61.638
30.4290315,6,1,9,1,50,52.0,246.865
30.525049,1,9,17,4,169,57.0,1036.0
30.5250505,3,13,17,5,175,60.0,1485.0
30.525071,2,1,2,0,7,54.0,106.281
30.5250845,6,1,13,2,77,53.0,429.016
32.921796,1,11,13,2,62,55.0,599.625
32.9218025,3,10,15,4,169,59.0,922.406
32.9218335,6,1,10,1,58,52.0,265.889
33.017814,1,11,17,4,125,57.0,999.311
33.0178205,3,3,17,5,169,61.0,1410.0
33.017833,2,1,4,0,9,54.0,129.918
33.0178485,6,14,13,3,118,54.0,493.948
33.113659,1,32,13,2,62,55.0,604.634
33.1136655,3,2,16,4,169,59.0,943.19
33.1136965,6,1,10,1,58,52.0,264.673
33.209778,1,32,18,3,113,57.0,979.013
33.2097825,3,5,18,5,171,61.0,1469.0
33.2098,2,1,2,0,7,55.0,93.975
33.2098125,6,40,15,2,115,54.0,488.889
33.305608,1,9,13,2,60,55.0,584.294
33.3056125,3,3,16,4,169,59.0,922.161
33.3056435,6,1,9,1,55,52.0,256.026
33.401265,1,32,18,4,135,57.0,1032.0
33.4012695,3,9,18,5,175,61.0,1484.0
33.401287,2,1,3,0,7,55.0,101.302
33.4012995,6,40,14,2,102,54.0,473.229
33.497847,1,9,11,2,43,55.0,545.982
33.4978515,3,3,16,4,169,59.0,932.379
33.497869,2,1,2,0,7,53.0,63.123
33.4978825,6,1,10,1,55,52.0,257.803
33.593878,1,32,18,4,132,57.0,1021.0
33.5938825,3,9,18,5,175,61.0,1493.0
33.5939,2,1,3,0,7,54.0,89.911
33.5939125,6,40,14,2,102,54.0,474.086
35.982047,1,1,14,2,48,55.0,575.934
35.9820515,3,9,15,4,172,59.0,964.813
35.982069,2,1,2,0,7,53.0,81.056
35.9820935,6,1,8,1,44,52.0,209.608
36.078878,1,32,17,4,125,57.0,1006.0
36.0788825,3,5,17,5,171,61.0,1469.0
36.0789,2,1,2,0,9,55.0,132.591
36.0789125,6,14,14,3,118,54.0,494.093
36.175012,1,9,11,2,54,55.0,574.315
36.1750165,3,10,16,4,169,59.0,908.475
36.175037,2,1,2,1,64,53.0,136.93
36.1750475,6,1,10,1,55,52.0,252.095
36.270827,1,1,18,4,172,57.0,1079.0
36.2708315,3,13,18,5,175,60.0,1488.0
36.270849,2,1,2,0,7,55.0,111.396
36.2708615,6,1,14,2,84,54.0,442.654
36.366552,1,1,14,2,43,55.0,547.225
36.3665535,3,9,15,4,172,59.0,953.756
36.366577,2,1,1,0,1,52.0,0.0
36.3665955,6,1,8,1,44,52.0,215.294
36.462266,1,32,18,4,132,57.0,1028.0
36.4622705,3,9,19,5,175,61.0,1498.0
36.462288,2,1,4,0,7,55.0,116.918
36.4623005,6,40,13,1,56,54.0,381.86
36.558121,1,32,12,2,62,55.0,605.325
36.5581275,3,3,16,4,169,59.0,931.438
36.5581585,6,1,9,1,58,52.0,263.293
36.653969,1,9,16,4,135,57.0,1021.0
36.6539735,3,3,18,5,169,60.0,1418.0
36.653988,2,1,4,0,10,55.0,136.226
36.6540045,6,1,13,2,115,54.0,487.153
39.0627115,3,8,14,7,266,60.0,1604.0
39.062718,2,1,7,1,41,57.0,513.655
39.062723,1,1,10,3,100,62.0,939.21
39.0627325,6,13,9,2,122,55.0,507.199
39.062741,5,2,3,0,2,48.0,5.628
39.126178,1,32,12,2,62,55.0,605.966
39.1261845,3,3,16,4,169,59.0,931.808
39.126203,2,1,2,0,1,53.0,0.0
39.1262155,6,1,10,1,55,52.0,251.956
39.223022,1,9,18,4,169,57.0,1047.0
39.2230265,3,10,18,5,172,60.0,1410.0
39.223044,2,1,2,0,7,54.0,90.603
39.2230575,6,1,14,2,80,53.0,424.696
39.31877,1,9,12,3,132,55.0,659.938
39.3187745,3,10,15,4,169,58.0,925.646
39.3188135,6,1,8,1,47,51.0,227.456
39.414506,1,32,19,4,132,57.0,1039.0
39.4145105,3,9,17,5,175,61.0,1472.0
39.414528,2,1,2,0,7,55.0,89.88
39.4145405,6,40,14,2,102,54.0,468.91
39.510388,1,32,14,2,48,55.0,580.23
39.5103925,3,9,15,4,168,59.0,961.154
39.51041,2,1,2,0,7,54.0,83.792
39.5104345,6,28,9,1,43,52.0,210.155
39.606206,1,9,17,4,169,57.0,1056.0
39.6062075,3,13,18,5,175,60.0,1483.0
39.606225,2,1,3,0,7,54.0,94.626
39.6062415,6,1,13,2,77,54.0,420.599
39.702307,1,9,14,3,132,55.0,671.113
39.7023085,3,13,15,4,172,59.0,958.578
39.702326,2,1,2,0,7,52.0,68.852
39.7023505,6,1,9,1,44,52.0,211.495
39.798307,1,9,18,4,166,57.0,1040.0
39.7983115,3,10,17,5,172,60.0,1400.0
39.798324,2,2,3,0,9,55.0,157.062
39.7983425,6,1,13,2,77,53.0,410.83
42.32592,1,1,14,2,48,55.0,582.567
42.3259245,3,9,15,4,168,58.0,942.858
42.325942,2,1,2,0,4,54.0,37.952
42.3259665,6,1,9,1,41,52.0,191.353
42.421677,1,29,19,4,132,57.0,1035.0
42.4216815,3,9,18,5,222,61.0,1496.0
42.421699,2,1,4,0,9,57.0,158.178
42.4217115,6,40,13,3,118,54.0,480.955
42.517721,1,9,12,3,132,55.0,668.652
42.5177255,3,10,15,4,169,59.0,934.959
42.5177565,6,1,10,1,55,51.0,248.817
42.613458,1,32,19,4,132,57.0,1041.0
42.6134625,3,9,17,5,175,61.0,1473.0
42.61348,2,1,3,0,7,54.0,98.751
42.6134925,6,40,13,3,118,54.0,485.023
42.709214,1,9,12,2,60,55.0,593.978
42.7092185,3,3,15,4,169,59.0,927.071
42.709236,2,1,2,0,7,52.0,55.871
42.7092495,6,1,9,1,55,52.0,247.861
42.805082,1,9,19,4,166,57.0,1055.0
42.8050865,3,10,18,5,172,60.0,1384.0
42.805099,2,2,2,0,9,55.0,157.625
42.8051175,6,1,13,2,77,53.0,414.619
42.901686,1,15,15,3,132,55.0,683.835
42.9016905,3,9,16,4,172,59.0,958.827
42.901708,2,1,2,0,7,53.0,72.532
42.9017325,6,1,8,1,44,52.0,209.596
42.997742,1,29,19,4,137,57.0,1060.0
42.9977465,3,9,18,5,171,61.0,1446.0
42.997764,2,1,3,0,7,55.0,100.497
42.9977765,6,40,14,3,118,54.0,476.544
45.492749,1,32,14,2,62,55.0,613.957
45.4927555,3,3,15,4,169,59.0,912.966
45.492777,2,2,2,0,3,53.0,35.582
45.4927865,6,1,9,1,55,52.0,243.671
45.588822,1,32,19,4,137,57.0,1063.0
45.5888265,3,9,17,5,171,61.0,1462.0
45.588844,2,1,3,0,9,55.0,144.375
45.5888595,6,37,13,2,115,54.0,466.821
45.684568,1,32,14,2,62,55.0,613.73
45.6845725,3,9,15,4,171,59.0,961.166
45.6846055,6,1,10,1,58,52.0,251.592
45.780331,1,9,20,4,169,57.0,1063.0
45.7803325,3,13,18,5,175,60.0,1488.0
45.780334,2,16,4,0,23,56.0,230.584
45.7803625,6,1,13,2,84,53.0,429.6
45.876112,1,32,13,2,62,55.0,611.074
45.8761165,3,9,15,4,171,59.0,966.971
45.87614,2,1,1,0,1,52.0,0.0
45.8761495,6,1,10,1,58,52.0,252.269
45.971964,1,32,20,4,137,57.0,1072.0
45.9719685,3,9,17,5,171,61.0,1468.0
45.971986,2,1,3,0,7,56.0,120.583
45.9719985,6,40,14,3,118,54.0,477.701
46.06782,1,9,13,3,132,55.0,672.042
46.0678215,3,13,15,4,172,59.0,959.037
46.067837,2,2,2,0,12,54.0,153.13
46.0678635,6,1,8,1,47,52.0,215.676
46.164668,1,32,19,4,137,57.0,1063.0
46.1646725,3,5,17,5,171,61.0,1473.0
46.164687,2,2,3,0,12,57.0,213.159
46.1647055,6,11,13,2,77,54.0,407.046
48.630476,1,9,13,3,132,55.0,672.638
48.6304805,3,10,14,4,169,59.0,900.023
48.630495,2,1,2,0,10,53.0,94.856
48.6305195,6,1,8,1,47,51.0,216.231
48.726528,1,9,19,4,169,58.0,1076.0
48.7265325,3,10,17,5,169,60.0,1412.0
48.726545,2,2,4,0,9,57.0,210.528
48.7265595,6,1,14,2,84,53.0,423.533
48.822373,1,9,12,3,132,55.0,677.128
48.8223775,3,3,14,4,169,59.0,922.539
48.82239,2,1,4,0,12,55.0,148.853
48.8224085,6,1,10,1,55,51.0,243.785
48.918476,1,11,20,4,137,57.0,1084.0
48.9184825,3,3,17,5,169,61.0,1404.0
48.918495,2,5,4,0,15,56.0,256.965
48.9185135,6,1,13,2,77,54.0,408.022
49.014243,1,9,12,3,132,55.0,679.236
49.0142475,3,10,15,4,169,59.0,913.03
49.0142865,6,1,8,1,47,51.0,216.147
49.109945,1,9,18,4,132,57.0,1035.0
49.1099465,3,13,19,5,175,60.0,1471.0
49.109964,2,1,3,0,10,54.0,145.773
49.1099855,6,1,12,2,75,54.0,394.387
49.205753,1,29,14,2,62,55.0,616.885
49.2057575,3,9,14,4,171,59.0,949.024
49.205772,2,1,3,0,12,55.0,176.86
49.2057905,6,37,10,1,55,53.0,241.58
49.301592,1,1,19,4,135,57.0,1074.0
49.3015965,3,9,17,5,175,60.0,1476.0
49.301614,2,1,4,0,10,57.0,183.613
49.3016265,6,1,13,1,56,54.0,369.728
50.5825265,3,1,3,0,23,56.0,143.672
51.793388,1,32,15,3,113,55.0,661.357
51.7933925,3,9,15,4,171,59.0,944.246
51.79341,2,1,3,0,1,54.0,0.0
51.7934255,6,1,10,1,58,52.0,248.57
51.889433,1,32,19,4,137,57.0,1076.0
51.8894375,3,6,18,5,171,61.0,1464.0
51.889452,2,1,3,0,12,57.0,231.292
51.8894675,6,14,13,2,80,54.0,416.149
51.985298,1,32,14,2,48,55.0,588.996
51.9853025,3,9,15,3,94,58.0,890.538
51.98532,2,1,3,0,7,54.0,88.37
51.9853445,6,28,9,1,41,52.0,186.23
52.081342,1,11,19,4,137,57.0,1082.0
52.0813485,3,3,18,5,169,61.0,1410.0
52.081361,2,1,6,0,16,57.0,235.137
52.0813795,6,11,13,2,77,54.0,403.918
52.177096,1,9,13,3,132,55.0,677.82
52.1771005,3,3,15,4,169,58.0,917.442
52.177113,2,1,3,0,12,54.0,139.526
52.1771315,6,1,9,1,55,51.0,240.729
52.272833,1,11,20,4,137,57.0,1076.0
52.2728395,3,3,18,5,169,60.0,1391.0
52.272852,2,1,3,0,12,56.0,228.577
52.2728705,6,1,13,2,77,54.0,397.53
52.368662,1,32,13,3,132,55.0,693.424
52.3686665,3,9,15,3,94,59.0,885.969
52.368684,2,1,3,0,7,54.0,79.486
52.3686965,6,1,10,1,53,52.0,221.666
52.465327,1,9,18,4,132,57.0,1039.0
52.4653315,3,10,18,5,172,60.0,1373.0
52.465341,2,1,5,0,12,57.0,233.485
52.4653585,6,1,13,2,102,54.0,450.382
54.941529,1,1,13,3,132,56.0,680.797
54.9415335,3,10,15,4,162,59.0,896.119
54.941548,2,1,3,0,10,54.0,119.606
54.9415695,6,1,9,1,47,52.0,218.601
55.038357,1,11,19,4,137,57.0,1080.0
55.0383635,3,3,17,5,172,60.0,1400.0
55.038376,2,1,5,0,12,56.0,269.103
55.0383945,6,1,13,2,77,53.0,401.236
55.134433,1,9,13,3,132,56.0,679.891
55.1344375,3,10,15,3,140,59.0,876.041
55.134455,2,1,3,0,10,53.0,105.437
55.1344765,6,1,8,1,47,51.0,212.101
55.230193,1,9,19,4,135,57.0,1046.0
55.2301975,3,3,17,5,172,60.0,1397.0
55.23021,2,2,4,0,12,57.0,241.644
55.2302245,6,1,14,2,84,53.0,421.299
55.325916,1,1,14,3,132,55.0,694.959
55.3259205,3,9,16,4,168,58.0,935.455
55.325938,2,1,2,0,4,54.0,52.693
55.3259625,6,1,8,1,41,52.0,182.685
55.421743,1,32,20,4,137,57.0,1085.0
55.4217475,3,9,18,5,171,61.0,1462.0
55.421762,2,1,4,0,10,57.0,222.077
55.4217775,6,1,13,2,61,54.0,393.679
55.517585,1,32,13,3,134,55.0,703.592
55.5175915,3,3,15,4,169,59.0,914.221
55.517604,2,1,3,0,12,55.0,163.644
55.5176225,6,1,9,1,55,52.0,238.959
55.613708,1,11,20,4,137,57.0,1086.0
55.6137145,3,3,18,5,172,60.0,1388.0
55.613727,2,2,4,1,64,57.0,385.409
55.6137455,6,1,13,2,80,53.0,404.86
58.020838,1,9,12,3,132,55.0,686.577
58.0208425,3,10,16,4,169,59.0,924.963
58.020852,2,1,4,0,15,55.0,195.935
58.0208735,6,1,9,1,55,51.0,239.758
58.117673,1,29,20,4,137,57.0,1089.0
58.1176775,3,9,19,5,222,61.0,1488.0
58.117692,2,1,6,0,16,57.0,269.072
58.1177075,6,40,12,2,61,54.0,391.343
58.213421,1,1,14,3,132,55.0,692.814
58.2134255,3,9,15,3,94,58.0,879.988
58.213443,2,1,3,0,7,54.0,89.162
58.2134555,6,1,10,1,56,52.0,239.076
58.30916,1,1,21,4,135,57.0,1080.0
58.3091645,3,9,19,5,168,60.0,1454.0
58.309182,2,1,5,0,13,55.0,211.218
58.3091945,6,40,13,2,118,54.0,461.515
58.404959,1,32,13,3,132,55.0,692.968
58.4049635,3,9,15,4,168,59.0,939.969
58.404981,2,1,3,0,7,54.0,98.626
58.4049935,6,40,10,1,55,52.0,235.86
58.500792,1,32,19,4,137,57.0,1080.0
58.5007965,3,9,17,5,171,61.0,1471.0
58.500811,2,1,5,0,10,57.0,205.914
58.5008265,6,14,14,2,80,54.0,407.046
58.596636,1,9,13,3,132,55.0,684.054
58.5966405,3,10,16,3,140,58.0,869.706
58.596655,2,1,3,0,10,53.0,118.468
58.5966765,6,1,9,1,47,52.0,217.626
58.6927,1,12,18,4,135,57.0,1085.0
58.6927045,3,13,19,5,172,60.0,1457.0
58.692717,2,1,6,0,18,55.0,303.885
58.6927345,6,1,13,2,118,54.0,465.534
61.060962,1,9,14,3,132,56.0,682.846
61.0609665,3,10,16,3,88,58.0,822.159
61.060981,2,1,3,0,10,54.0,121.589
61.0610055,6,1,9,1,44,52.0,201.859
61.156678,1,11,19,4,137,57.0,1088.0
61.1566845,3,4,19,5,169,60.0,1395.0
61.156697,2,1,7,2,72,58.0,497.374
61.1567155,6,11,12,2,77,54.0,393.041
61.252429,1,32,13,3,132,55.0,699.94
61.2524335,3,9,17,4,168,58.0,928.838
61.252451,2,1,4,0,13,54.0,158.438
61.2524755,6,1,8,1,41,52.0,180.764
61.348197,1,9,17,4,132,57.0,1035.0
